Job Profile,Company,Location,CTC,EXPERIENCE,LOGO
Customer Service Manager,Dolphin Ad World Private Limited,Mumbai,"₹ 2,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5e2fdeed5b7401580195565.png.webp
Associate Telecaller,Prepca Eduserv Private Limited,Pune,"₹ 5,30,000 - 6,80,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F622b3a86b22fb1647000198.png.webp
Google / Meta Ads Specialist,Mark Web Solutions,Mumbai,"₹ 5,00,000 - 5,25,000",2-3 years,https://internshala-uploads.internshala.com/logo%2F5e2fdc64467b41580194916.png.webp
Senior Business Development Executive,Prepca Eduserv Private Limited,Pune,"₹ 5,30,000 - 6,80,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F622b3a86b22fb1647000198.png.webp
Telecaller,Darkpacific Socialmedia Private Limited,Gurgaon,"₹ 2,00,000 - 2,40,000",1-3 years,https://internshala-uploads.internshala.com/logo%2Fdlwn59mqd1w-52113.png.webp
Corporate Sales Specialist,SaleAssist.ai,Noida,"₹ 2,50,000 - 5,00,000",1-5 years,https://internshala-uploads.internshala.com/logo%2Fjed6w1bf4qp-48757.png.webp
Graphic Designer,Airblack,Gurgaon,"₹ 4,00,000 - 6,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F647ef44332e571686041667.jpg.webp
Social Media Marketing Manager,CollegeTips Ed Tech Media Private Limited,Bhopal,"₹ 3,00,000 - 6,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F62712dadecd481651584429.jpg.webp
Business Development Executive,Mindgroom Services Private Limited,Delhi,"₹ 2,00,000 - 3,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F60d5c03ded90c1624621117.png.webp
Corporate Sales Associate,Anime Devta Brands Private Limited,Greater Noida,"₹ 2,00,000 - 4,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F6436d0f421d961681314036.png.webp
